Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;5.188.95.3
2;1;1;1;10.255.29.242
3;1;1;1;185.185.135.20
4;1;1;1;31.154.208.205
5;*;*;*;0.0.0.0
6;*;*;*;0.0.0.0
7;65;64;64;82.102.129.226
8;40;39;39;212.199.14.103
9;40;40;40;129.134.107.84
10;41;41;41;163.77.190.4
11;43;43;43;129.134.90.164
12;40;40;40;157.240.196.35
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
